singular,plural,level
plane,planes,s
book,books,s
house,houses,s
computer,computers,s
apple,apple,s
dog,dogs,s
tree,trees,s
table,tables,s
car,cars,s
pen,pens,s
computer,computers,s
phone,phones,s
cat,cats,s
window,windows,s
door,doors,s
bottle,bottles,s
shoe,shoes,s
shirt,shirts,s
cup,cups,s
lamp,lamps,s
bed,beds,s
clock,clocks,s
bag,bags,s
key,keys,s
window,windows,s
date,dates,s
statement,statements,s
leaner,leaners,s
classroom,classrooms,s
bus,buses,es
dish,dishes,es
box,boxes,es
match,matches,es
class,classes,es
church,churches,es
fox,foxes,es
kiss,kisses,es
dress,dresses,es
class,classes,es
watch,watches,es
fox,foxes,es
church,churches,es
brush,brushes,es
match,matches,es
sandwich,sandwiches,es
bench,benches,es
peach,peaches,es
branch,branches,es
ash,ashes,es
loss,losses,es
moss,mosses,es
boss,bosses,es
glass,glasses,es
tomato,tomatoes,es
potato,potatoes,es
veto,vetoes,es
mosquito,mosquitoes,es
hero,heroes,es
volcano,volcanoes,es
echo,echoes,es
mango,mangoes,es
domino,dominoes,es
tornado,tornadoes,es
zero,zeroes,es
piano,pianoes,es
solo,soloes,es
alto,altoes,es
photo,photoes,es
rhino,rhinoes,es
studio,studioes,es
radio,radioes,es
cello,celloes,es
cargo,cargoes,es
memo,memoes,es
baby,babies,ies
lady,ladies,ies
story,stories,ies
berry,berries,ies
city,cities,ies
party,parties,ies
puppy,puppies,ies
family,families,ies
puppy,puppies,ies
country,countries,ies
family,families,ies
penny,pennies,ies
cherry,cherries,ies
army,armies,ies
library,libraries,ies
candy,candies,ies
diary,diaries,ies
activity,activities,ies
factory,factories,ies
mystery,mysteries,ies
gallery,galleries,ies
melody,melodies,ies
colony,colonies,ies
